传	16487	chuan2	95
课	19527	ke4	100
忘	19506	wang4	100
热	19435	re4	100
选	19340	xuan3	100
摸	19218	mo1	100
啥	19076	sha2	100
求	18796	qiu2	100
若	18721	ruo4	100
由	18596	you2	100
些	18571	xie1	100
久	18522	jiu3	100
苦	18467	ku3	100
笔	18400	bi3	100
米	18398	mi3	100
约	18397	yue1	100
飞	18306	fei1	100
吐	14414	tu4	99
还	14026	huan2	5
照	18205	zhao4	100
组	18200	zu3	100
赢	18167	ying2	100
饿	18129	e4	100
越	18114	yue4	100
读	18050	du2	100
秒	17997	miao3	100
信	17987	xin4	100
另	17895	ling4	100
儿	17892	er2	100
靠	17880	kao4	100
聊	17570	liao2	100
零	17540	ling2	100
远	17490	yuan3	100
懂	17438	dong3	100
追	17135	zhui1	100
见	17107	jian4	100
码	17005	ma3	100
跳	16860	tiao4	100
挂	16745	gua4	100
哪	16734	na3	100
呃	16644	e5	100
挺	16638	ting3	100
贵	16487	gui4	100
种	13659	zhong4	95
元	16479	yuan2	100
单	16300	dan1	100
疯	16067	feng1	100
张	16065	zhang1	100
萌	15973	meng2	100
亿	15922	yi4	100
头	15909	tou2	100
活	15832	huo2	100
重	13307	chong2	50
次	15674	ci4	100
本	15654	ben3	100
群	15648	qun2	100
设	15640	she4	100
除	15570	chu2	100
骗	15557	pian4	100
各	15537	ge4	100
店	15414	dian4	100
考	15405	kao3	100
歌	15375	ge1	100
喂	15369	wei4	100
强	15367	qiang2	100
死	15344	si3	100
收	15315	shou1	100
噗	15105	pu1	100
边	15098	bian1	100
恨	15018	hen4	100
撸	15017	lu1	100
喵	15000	miao1	100
亮	14909	liang4	100
仍	14871	reng2	100
敢	14812	gan3	100
弱	14776	ruo4	100
五	14760	wu3	100
破	14739	po4	100
哼	14734	heng1	100
拍	14726	pai1	100
躺	14715	tang3	100
性	14676	xing4	100
提	14598	ti2	100
几	14571	ji3	100
抢	14563	qiang3	100
重	13307	zhong4	50
日	14337	ri4	100
谈	14248	tan2	100
饭	14228	fan4	100
帅	14220	shuai4	100
离	14219	li2	100
号	14195	hao4	100
主	14194	zhu3	100
闹	14145	nao4	100
办	14115	ban4	100
度	12019	du4	100
养	13935	yang3	100
红	13924	hong2	100
猪	13893	zhu1	100
刷	13856	shua1	100
呐	13815	na4	100
姐	13717	jie3	100
洗	13666	xi3	100
耶	11737	ye1	100
喝	13556	he1	100
菜	13540	cai4	100
赞	13451	zan4	100
丢	13410	diu1	100
捏	13352	nie1	100
非	13259	fei1	100
粉	13214	fen3	100
怕	13180	pa4	100
坑	13153	keng1	100
网	13143	wang3	100
总	13125	zong3	100
爹	13093	die1	100
蛋	13062	dan4	100
型	13017	xing2	100
咱	13005	zan2	100
屎	12907	shi3	100
纸	12885	zhi3	100
杀	12873	sha1	100
自	12848	zi4	100
白	12815	bai2	100
急	12776	ji2	100
催	12760	cui1	100
特	12688	te4	100
包	12637	bao1	100
根	12570	gen1	100
愿	12555	yuan4	100
妹	12550	mei4	100
牛	12544	niu2	100
唔	12536	wu2	100
受	12477	shou4	100
十	12450	shi2	100
抓	12442	zhua1	100
钱	12428	qian2	100
者	12374	zhe3	100
喷	12364	pen1	100
鱼	12333	yu2	100
乘	12328	cheng2	100
家	12272	jia1	100
瞎	12264	xia1	100
此	12142	ci3	100
乱	12103	luan4	100
