啊	a
辩	bmy
鳊	bmyb
褊	bmyb
辩	bmyx
遍	bmz
斌	bb
宾	bbb
滨	bbd
浜	bbdb
殡	bbdb
濒	bbdp
禀	bbdu
郴	bbe
邠	bbef
摈	bbf
髌	bbg
豳	bbh
鬓	bbi
镔	bbj
彬	bbm
膑	bbo
彬	bbp
傧	bbr
缤	bbs
禀	bbu
豳	bbuu
玢	bbwf
攽	bbwf
禀	bbwu
波	bo
卜	boa
百	boab
帛	bob
百	bobh
帛	bobj
薄	boc
薜	bocb
菠	bocb
菝	bocb
荸	bocb
蕃	bocf
菔	bocf
薜	bocx
荸	bocz
剥	bod
泊	bodb
渤	bodb
浡	bodb
亳	bodq
亳	bodt
洎	bodz
浡	bodz
鄱	boe
播	bof
捭	bofb
搏	bofc
拨	boff
搏	boff
爆	bohb
铂	boj
钵	bojb
帛	bojb
钹	bojb
镈	bojc
镈	bojf
钹	bojy
啵	bok
哱	bokb
哱	bokz
勃	bol
柏	bom
檗	bomb
桲	bomb
欂	bomb
檗	bomx
驳	bomy
桲	bomz
鹁	bon
妭	bonb
脖	boo
膊	booc
膊	boof
伯	bor
佰	borb
僰	borc
繁	bos
畚	bosf
博	bou
饽	boub
擘	boub
砵	boub
礴	boub
嶓	bouf
擘	boux
孛	bouz
饽	bouz
簿	bov
舶	bovb
箔	bovb
貊	bovb
簸	bovp
玻	bow
亳	bowq
亳	bowt
悖	box
馞	boxb
馞	boxz
鲅	boyb
雹	boyb
袯	boyb
鲅	boyy
孛	boz
踣	bozk
跛	bozp
踣	bozp
步	bu
卜	bua
蔀	buc
部	bue
陟	bueb
捕	buf
布	buj
钚	bujb
卟	buk
哺	bukf
晡	buo
阜	bup
晡	bur
埠	but
埗	butb
埔	butf
布	buu
阜	buuk
步	buv
簿	buv
阜	buvu
怖	bux
补	buy
醭	buyd
醭	buyf
醭	buyp
逋	buz
别	bp
瘪	bpb
咇	bpkb
憋	bpx
鳖	bpy
蹩	bpz
并	bk
丙	bka
病	bkb
芮	bkc
冰	bkd
禀	bkdu
邴	bke
摒	bkf
秉	bkha
炳	bkhb
秉	bkhv
蛃	bki
柄	bkm
槟	bkmb
栟	bkmb
昺	bko
秉	bkp
兵	bkq
兵	bkqb
昺	bkr
饼	bku
禀	bkw
迸	bkz
被	bw
北	bwa
贝	bwad
蓓	bwc
萆	bwcb
陂	bwe
邶	bweb
悲	bwfx
庳	bwg
鞁	bwgp
焙	bwh
辈	bwi
钡	bwjb
呗	bwk
哱	bwkb
哱	bwkz
杯	bwm
椑	bwmb
糒	bwmy
婢	bwn
鹎	bwnb
背	bwo
臂	bwob
臂	bwox
卑	bwp
狈	bwq
倍	bwr
俾	bwrb
僻	bwrb
僻	bwrx
埤	bwtb
碑	bwub
碚	bwuk
卑	bwup
碚	bwup
孛	bwuz
备	bww
琲	bwwf
悲	bwx
悖	bwxb
惫	bwxb
悖	bwxz
裨	bwyb
褙	bwyb
避	bwz
孛	bwzb
次	c
擦	ca
搽	caf
嚓	cak
凑	cz
辏	czi
腠	czo
测	ce
荣	cec
厕	cei
册	cek
荣	cem
册	cep
侧	cer
策	cev
恻	cex
参	cf
涔	cfd
梣	cfm
叁	cfs
岑	cfu
曾	cg
鄫	cge
噌	cgk
层	cgu
嶒	cguc
蹭	cgz
藏	ch
苍	chc
沧	chd
鸧	chn
仓	chr
伧	chrc
舱	chv
此	ci
赐	cib
疵	cibc
茨	cic
茈	cicc
莿	cicc
刺	cid
泚	cidc
蚝	cii
呲	cik
糍	cim
粢	cimc
鹚	cin
伺	cir
佽	circ
辞	ciu
祠	cius
磁	ciuz
雌	civ
瓷	ciw
玼	ciwc
辞	cix
恣	cixc
慈	cixz
词	ciy
跐	ciz
惨	cj
残	cjd
澶	cjdd
掺	cjf
灿	cjh
黪	cjhc
䅟	cjhc
蚕	cji
粲	cjm
骖	cjmc
参	cjs
叁	cjss
蚕	cjt
餐	cju
璨	cjw
惭	cjxv
草	cc
艹	cca
艸	ccc
漕	ccd
操	ccf
螬	cci
嘈	cck
槽	ccm
糙	ccmz
曹	cco
艚	ccv
慥	ccx
才	cd
财	cdb
菜	cdc
蔡	cdcj
裁	cdg
采	cdm
材	cdmc
睬	cdo
彩	cdp
猜	cdq
偲	cdr
采	cdv
裁	cdy
踩	cdz
跐	cdzc
错	co
痤	cob
瘥	cobi
昔	coc
蕞	cocz
莝	cocz
酂	coe
措	cof
搓	cofi
挫	cofz
撮	cofz
厝	coi
锉	coj
鹾	col
棤	com
昔	coo
脞	cooz
昔	cor
嵯	cou
磋	coui
嵖	coui
碏	coux
矬	couz
瑳	cow
蹉	coz
存	cy
寸	cya
邨	cye
村	cym
皴	cyp
忖	cyx
蹲	cyzz
窜	cr
攒	crf
撺	crfc
攥	crfs
攥	crfz
爨	crh
爨	crj
镩	crjc
爨	crp
汆	crr
汆	cru
纂	crv
篡	crvs
蹿	crz
从	cs
丛	csa
匆	csb
葱	csc
苁	cscc
淙	csd
聪	cse
匆	csg
熜	cshc
熜	cshx
枞	csm
骢	csmx
骢	csmz
匆	csp
囱	csph
囱	cspx
丛	csr
匆	csw
璁	cswc
璁	cswx
琮	cswz
悰	csx
粗	cu
蔟	cuc
卒	cud
殂	cudq
戚	cug
厝	cui
槭	cumq
槭	cumx
猝	cuq
促	cur
卒	cuu
岨	cuuq
碏	cuux
簇	cuv
戚	cuw
卒	cuwu
徂	cux
醋	cuy
酢	cuyv
蹴	cuz
趋	cuzi
蹴	cuzj
蹙	cuzq
趋	cuzx
蹙	cuzx
崔	cv
瘁	cvb
萃	cvc
漼	cvdc
洒	cvdx
淬	cvdz
摧	cvf
啐	cvk
粹	cvm
毳	cvmm
榱	cvmu
脆	cvo
催	cvr
缞	cvs
碎	cvu
崒	cvuz
璀	cvwc
悴	cvx
翠	cvy
的	d
打	da
大	daa
瘩	dab
疸	dabd
荙	dac
耷	dad
溚	dadd
劄	dadd
溚	dadh
耷	dae
搭	daf
搭	dafh
鞑	dag
靼	dagd
炟	dah
哒	dak
嗒	dakd
嗒	dakh
阘	dam
妲	dan
叠	daq
垯	datd
答	dav
笪	davd
怛	dax
褡	dayd
褡	dayh
叠	dayy
褟	dayy
达	daz
跶	dazd
都	dz
豆	dza
兜	dzb
痘	dzbd
窦	dzbm
蔸	dzc
斗	dzd
剅	dzdd
兜	dze
陡	dzez
抖	dzf
蚪	dzi
篼	dzv
窦	dzx
读	dzy
逗	dzz
掉	dn
弔	dna
窎	dnb
莜	dnc
汈	dndd
凋	dndv
淖	dndv
刁	dng
蜩	dni
钓	dnj
铞	dnjd
铫	dnjv
吊	dnk
叼	dnkd
碉	dnu
屌	dnud
雕	dnv
貂	dnvv
悼	dnx
窎	dnxn
调	dny
鲷	dnyv
得	de
底	deg
锝	dej
嘚	dek
地	det
德	dex
等	dg
登	dgd
澄	dgdd
邓	dge
戥	dgg
灯	dgh
凳	dgj
镫	dgjd
噔	dgk
瞪	dgo
嶝	dgu
磴	dgud
璒	dgw
憕	dgx
邓	dgy
蹬	dgz
当	dh
宕	dhb
荡	dhc
菪	dhcd
菪	dhcu
党	dhd
党	dhe
挡	dhf
铛	dhj
凼	dhk
档	dhm
垱	dht
凼	dhu
砀	dhuy
筜	dhv
珰	dhw
党	dhx
裆	dhy
谠	dhyd
地	di
弟	dib
蒂	dic
菂	dicd
荻	dicd
茋	dicd
莜	dicw
莜	dicy
滴	did
濯	didd
帝	didj
涤	didt
濯	didv
邮	die
邸	died
抵	dif
搋	difh
提	difu
扺	difu
底	dig
骶	digd
鞮	digu
熵	dih
䗖	dii
帝	dij
镝	dijd
镝	dijg
觌	dijm
嘀	dik
啻	dikd
帝	dil
棣	dim
柢	dimd
杕	dimd
棣	diml
嫡	din
娣	dind
媂	dind
睇	dio
氐	dip
狄	diq
低	dir
籴	dirm
缔	dis
绦	dist
堤	dit
坻	ditd
堤	ditu
砥	diu
氐	diud
砥	diud
碲	diud
禘	diud
䃅	diud
岫	diuy
第	div
篪	divh
笛	divy
敌	diw
帝	diwj
玓	diwu
悌	dixd
翟	diy
谛	diyd
羝	diyd
诋	diyd
褫	diyh
迪	diz
递	dizd
逖	dizd
蹢	dizd
逮	dizl
